                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5239,                0.98425,                      1,                 1.3367,             0.00023678,             0.00023678,             0.00023678
                      2,                0.36689,                0.93701,                      1,                 1.3409,             0.00046538,             0.00046538,             0.00046538
                      3,                0.24967,                0.99213,                      1,                 1.2885,             0.00068455,             0.00068455,             0.00068455
                      4,                0.12588,                0.90157,                      1,                 1.3847,             0.00067159,             0.00067159,             0.00067159
                      5,                0.13688,                0.94488,                      1,                 1.3288,             0.00067159,             0.00067159,             0.00067159
                      6,                0.09145,                0.98819,                      1,                 1.2984,             0.00065745,             0.00065745,             0.00065745
                      7,                0.05177,                0.99606,                      1,                 1.2836,             0.00064331,             0.00064331,             0.00064331
                      8,                0.03482,                0.98425,                      1,                 1.2941,             0.00062918,             0.00062918,             0.00062918
                      9,                0.01682,                      1,                      1,                 1.2798,             0.00061504,             0.00061504,             0.00061504
                     10,                 0.0202,                0.99213,                      1,                 1.2819,              0.0006009,              0.0006009,              0.0006009
                     11,                0.03709,                0.99606,                      1,                 1.2798,             0.00058677,             0.00058677,             0.00058677
                     12,                0.03361,                0.99606,                      1,                 1.2856,             0.00057263,             0.00057263,             0.00057263
                     13,                0.01601,                      1,                      1,                 1.2778,             0.00055849,             0.00055849,             0.00055849
                     14,                0.00576,                0.99606,                      1,                   1.28,             0.00054435,             0.00054435,             0.00054435
                     15,                0.01047,                      1,                      1,                 1.2779,             0.00053022,             0.00053022,             0.00053022
                     16,                0.02483,                0.99606,                      1,                 1.2795,             0.00051608,             0.00051608,             0.00051608
                     17,                0.00808,                0.99606,                      1,                 1.2785,             0.00050194,             0.00050194,             0.00050194
                     18,                0.00585,                0.99606,                      1,                  1.285,              0.0004878,              0.0004878,              0.0004878
                     19,                0.00412,                0.99606,                      1,                  1.283,             0.00047367,             0.00047367,             0.00047367
                     20,                0.01754,                      1,                      1,                 1.2798,             0.00045953,             0.00045953,             0.00045953
                     21,                0.01114,                0.99606,                      1,                 1.2795,             0.00044539,             0.00044539,             0.00044539
                     22,                0.00662,                0.99606,                      1,                   1.28,             0.00043126,             0.00043126,             0.00043126
                     23,                0.00537,                0.99213,                      1,                 1.2849,             0.00041712,             0.00041712,             0.00041712
                     24,                0.02549,                0.99606,                      1,                 1.2791,             0.00040298,             0.00040298,             0.00040298
                     25,                0.00339,                0.99213,                      1,                 1.2793,             0.00038884,             0.00038884,             0.00038884
                     26,                0.00624,                      1,                      1,                 1.2792,             0.00037471,             0.00037471,             0.00037471
                     27,                0.00232,                      1,                      1,                 1.2763,             0.00036057,             0.00036057,             0.00036057
                     28,                0.00257,                      1,                      1,                 1.2763,             0.00034643,             0.00034643,             0.00034643
                     29,                0.00209,                0.99606,                      1,                 1.2777,              0.0003323,              0.0003323,              0.0003323
                     30,                0.00615,                0.99606,                      1,                 1.2775,             0.00031816,             0.00031816,             0.00031816
                     31,                0.00823,                0.98819,                      1,                 1.2866,             0.00030402,             0.00030402,             0.00030402
                     32,                0.00428,                0.99606,                      1,                 1.2812,             0.00028988,             0.00028988,             0.00028988
                     33,                0.00199,                0.99606,                      1,                 1.2791,             0.00027575,             0.00027575,             0.00027575
                     34,                0.00645,                0.99213,                      1,                 1.2835,             0.00026161,             0.00026161,             0.00026161
                     35,                0.00137,                0.99606,                      1,                 1.2803,             0.00024747,             0.00024747,             0.00024747
                     36,                0.00195,                0.99606,                      1,                 1.2797,             0.00023334,             0.00023334,             0.00023334
                     37,                0.00235,                0.99606,                      1,                 1.2808,              0.0002192,              0.0002192,              0.0002192
                     38,                0.00268,                0.99213,                      1,                 1.2873,             0.00020506,             0.00020506,             0.00020506
                     39,                0.00145,                0.99606,                      1,                 1.2836,             0.00019092,             0.00019092,             0.00019092
                     40,                0.00449,                0.99606,                      1,                 1.2814,             0.00017679,             0.00017679,             0.00017679
                     41,                0.00264,                0.99606,                      1,                 1.2779,             0.00016265,             0.00016265,             0.00016265
                     42,                0.00175,                      1,                      1,                 1.2759,             0.00014851,             0.00014851,             0.00014851
                     43,                0.00154,                      1,                      1,                 1.2773,             0.00013437,             0.00013437,             0.00013437
                     44,                0.00079,                0.99606,                      1,                 1.2783,             0.00012024,             0.00012024,             0.00012024
                     45,                0.00077,                      1,                      1,                 1.2769,              0.0001061,              0.0001061,              0.0001061
                     46,                0.00062,                      1,                      1,                 1.2759,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                0.00101,                      1,                      1,                 1.2765,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                 0.0008,                      1,                      1,                 1.2762,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                0.00042,                      1,                      1,                 1.2754,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                0.00145,                      1,                      1,                 1.2761,             3.5414e-05,             3.5414e-05,             3.5414e-05
